Case No,Division,Water District,Waterbody Name,Waterbody Type,Appropriation Type,Appropriation Date,Prior Adjudication Date,WDID,Upper Terminus,UT UTM East,UT UTM North,Lower Terminus,LT UTM East,LT UTM North,Lake UTM North,Lake UTM East,Location,Length,Flow Amounts,Volume in AF,County,Watershed
98CW0235,4,59,Cow Creek,Stream,New Appropriation,05/11/1998,,5901816,headwaters in the vicinity of,302377.90,4278356.71,confl Soap Creek at,298215.85,4268999.34,,,"(38.546389, -107.314444)",7.5,"0.5 (8/15 - 3/31), 1.25 (4/1 - 8/14)",,Gunnison,Upper Gunnison
80CW0066,1,23,Middle Fork South Platte River,Stream,New Appropriation,01/30/1980,,2302146,outlet Montgomery Res in,407593.73,4356490.04,confl Buckskin Creek in,408620.74,4348731.19,,,"(39.283125, -106.059511)",5.7,4 (1/1 - 12/31),,Park,South Platte Headwaters
84CW0287,7,71,Barlow Creek,Stream,New Appropriation,07/13/1984,,7101910,headwaters in vicinity of,240791.33,4177695.14,confl Dolores River at,237414.41,4184561.21,,,"(37.770833, -107.980556)",5.3,1.5 (1/1 - 12/31),,Dolores,Upper Dolores
77W3631A,5,37,Red Sandstone Creek,Stream,New Appropriation,07/27/1977,,3702051,confl Indian Creek in,379735.99,4393026.52,confl Gore Creek in,380203.97,4388821.32,,,"(39.640792, -106.396111)",2.5,"1.5 (10/1 - 4/30), 2.5 (5/1 - 9/30)",,Eagle,Eagle
83CW0206,4,59,Illinois Creek,Stream,New Appropriation,07/07/1983,,5901406,headwaters in vicinity of,373634.60,4306764.30,confl Taylor River at,364482.23,4303541.23,,,"(38.87, -106.561111)",6.7,3 (1/1 - 12/31),,Gunnison,East-Taylor
82CW0141,2,13,Bear Creek,Stream,New Appropriation,06/03/1982,,1303014,headwaters in vicinity of,454683.28,4201251.50,confl Hudson Creek in,457256.58,4201958.70,,,"(37.964236, -105.486603)",2.1,0.5 (1/1 - 12/31),,Custer,Arkansas Headwaters
75W2656,5,38,Hunter Creek,Stream,New Appropriation,02/26/1975,,3802000,confl No Name Creek at,351498.76,4339962.96,confl Roaring Fork River at,342757.69,4340178.96,,,"(39.197222, -106.820556)",6.2,14 (1/1 - 12/31),,Pitkin,Roaring Fork
86CW0224,5,36,Snake River,Stream,New Appropriation,03/14/1986,,3602039,confl Deer Creek at,426079.18,4379699.17,confl Peru Creek at,424910.67,4383405.25,,,"(39.596944, -105.874167)",2.6,3.5 (1/1 - 12/31),,Summit,Blue
80CW0081,2,10,Monument Creek,Stream,New Appropriation,05/07/1980,,1003002,headwaters in vicinity of,498340.54,4323481.50,confl N Monument Creek in,507720.38,4329528.24,,,"(39.114872, -104.910694)",8.1,1.5 (1/1 - 12/31),,El Paso,Fountain
84CW0391,4,59,Curecanti Creek,Stream,New Appropriation,05/04/1984,,5901488,confl Commissary Gulch at,294045.93,4272414.37,confl Morrow Point Res at,289312.65,4258638.97,,,"(38.451389, -107.413889)",10.1,5 (1/1 - 12/31),,Gunnison,Upper Gunnison
94CW0045,3,20,South Clear Creek,Stream,New Appropriation,03/09/1994,,2001867,outlet Lower Hermit Lake at,304472.11,4186810.46,inlet Upper Brown Lake at,305954.24,4187869.75,,,"(37.817778, -107.204167)",1.3,"1.5 (5/1 - 8/31), 0.7 (9/1 - 4/30)",,Hinsdale,Rio Grande Headwaters
80CW0125,4,59,Middle Brush Creek,Stream,New Appropriation,03/17/1980,,5901635,headwaters in vicinity of,338550.46,4318282.48,confl East Brush Creek at,339317.46,4308647.90,,,"(38.912222, -106.852778)",7.5,8 (1/1 - 12/31),,Gunnison,East-Taylor
06CW0169,4,68,Middle Fork Spring Creek,Stream,New Appropriation,01/25/2006,,6801354,headwaters in vicinity of,230338.95,4241456.90,confl Spring Creek at,237559.14,4246398.99,,,"(38.327222, -108.001944)",6.04,"3.5 (4/1 - 10/31), 1.5 (11/1 - 3/31)",,Ouray,Uncompahgre
77W3620,5,53,Tepee Creek,Stream,New Appropriation,09/23/1977,,5302010,headwaters in vicinity of,359010.48,4444603.84,confl High Rock Creek in,361416.44,4439184.03,,,"(40.091542, -106.625658)",5,3 (1/1 - 12/31),,Routt,Colorado Headwaters
80CW0377,5,43,West Fork Fawn Creek,Stream,New Appropriation,05/07/1980,,4302348,headwaters in vicinity of,281456.68,4442100.99,confl EF Fawn Creek in,283831.02,4438446.12,,,"(40.068561, -107.534839)",3,2 (1/1 - 12/31),,Rio Blanco,Upper White
W-4291-75,2,11,GRASS LAKE,Lake,New Appropriation,07/09/1975,,1103943,na,,,na,,,4266831.90,384295.75,,,,43,Chaffee,Arkansas Headwaters
80CW0098,3,20,Trout Creek,Stream,New Appropriation,07/08/1980,,2001837,headwaters in vicinity of,341641.92,4168316.30,confl SF Rio Grande River in,354102.25,4168642.35,,,"(37.653358, -106.653942)",8.5,2 (1/1 - 12/31),,Rio Grande,Rio Grande Headwaters
W-3025-76,5,37,TURQUOISE LAKE #1,Lake,New Appropriation,01/14/1976,,3703588,na,,,na,,,4374308.91,368247.13,"(39.508333, -106.531944)",,,68,Eagle,Eagle
16CW3160,1,6,South Boulder Creek,Stream,Acquisition,,,,USGS Gage 06729500,0.00,0.00,South Boulder Road,,,,,,,"15 (05/01 - 09/30), 8 (10/01 - 04/30)",,"Boulder, Gilpin",St. Vrain
85CW0628,5,51,Hull Creek,Stream,New Appropriation,11/08/1985,,5102055,headwaters in the vicinity of,416418.34,4422643.93,confl with Keyser Creek at,415181.30,4418319.87,,,"(39.910556, -105.991667)",2.9,1 (1/1 - 12/31),,Grand,Colorado Headwaters
78W9261,1,3,South Fork Cache la Poudre River,Stream,New Appropriation,01/19/1978,,0302106,confl Little Beaver Creek in,455705.55,4497098.47,confl Cache la Poudre River in,462203.45,4504046.36,,,"(40.686442, -105.4473)",8,15 (1/1 - 12/31),,Larimer,Cache La Poudre
78W3805,5,37,Eagle River,Stream,New Appropriation,05/12/1978,,3702046,confl EF & SF Eagle River in,386918.64,4364400.34,confl Resolution Creek in,385733.66,4367351.29,,,"(39.448144, -106.327992)",2,"6 (10/1 - 4/30), 12 (5/1 - 9/30)",,Eagle,Eagle
11CW0152,5,51,Saint Louis Creek,Stream,Acquisition,,,,Confluence of West St. Louis Creek,,,Confluence of King Creek,,,,,,0.42,"10 (5/15 - 5/31), 11 (6/1 - 7/31), 10 (8/1 - 9/15), 4.5 (9/16 - 5/14)",,Grand,Colorado Headwaters
11CW0152,5,51,Ranch Creek,Stream,Acquisition,,,,Confluence of Hurd Creek,,,Confluence of Meadow Creek,,,,,,1.09,"8 (5/15 - 9/15), 5 (9/16 - 5/14), 50 (4/1 - 9/30), 30 (10/1 - 3/31)",,Grand,Colorado Headwaters
14CW3154,5,39,Meadow Creek,Stream,New Appropriation,01/28/2014,,3902026,outlet of Meadow Creek Reservoir at,282092.06,4409432.89,confl Main Elk Creek at,279846.06,4398191.75,,,"(39.705278, -107.568056)",8.21,"2.1 (4/1 - 9/30), 1.3 (10/1 - 3/31)",,Garfield,Colorado Headwaters-Plateau
STL7,5,51,Saint Louis Creek,Stream,Acquisition,,,,Hammond No. 2 Ditch headgate,,,Tyron Ditch headgate,0.00,0.00,,,,,,,Grand,Colorado Headwaters
W-1779-77,7,30,ISLAND LAKE,Lake,New Appropriation,03/09/1977,,3003940,na,,,na,,,4189479.93,253413.49,"(37.819444, -107.800833)",,,32,San Juan,Animas
11/7/ACQ-001,7,30,Hermosa Creek,Stream,Acquisition,,,,Three Sisters Ditch Headgate,,,na,,,,,,,,,"La Plata, San Juan",Animas
94CW0249,1,9,Yankee Creek,Stream,New Appropriation,11/03/1994,,0902110,headwaters in vicinity of,462878.39,4379073.12,confl Bear Creek at,463776.65,4386652.23,,,"(39.628889, -105.421389)",5.1,"1.75 (4/1 - 7/31), 0.5 (8/1 - 3/31)",,"Clear Creek, Park",Upper South Platte
95CW0256,1,7,Fall River,Stream,New Appropriation,07/24/1995,,0702125,confl unnamed tributary at,442201.68,4407443.61,~ 200 yards u/s confl Clear Creek at,452327.00,4400861.31,,,"(39.756389, -105.556389)",8.5,"5.25 (5/1 - 9/30), 2 (10/1 - 4/30)",,Clear Creek,Clear
80CW0314,5,51,Elk Creek,Stream,New Appropriation,05/07/1980,,3902002,confl M & W Elk Creeks at,278001.91,4387088.48,confl E Elk Creek at,280648.36,4384613.33,,,"(39.582778, -107.553333)",2.6,"6 (10/1 - 4/30), 10 (5/1 - 9/30)",,"Garfield, Grand","Colorado Headwaters, Colorado Headwaters-Plateau"
90CW0299,5,51,Tipperary Creek,Stream,New Appropriation,11/27/1990,,5102077,headwaters in vicinity of,420230.39,4417711.86,confl Crooked Creek in,423576.45,4421687.92,,,"(39.941864, -105.894544)",3.3,"2 (4/15 - 7/31), 0.25 (8/1 - 4/14)",,Grand,Colorado Headwaters
84CW0162,3,20,South Fork Rio Grande,Stream,New Appropriation,08/16/1982,,2001827,confl Park Creek at,347435.80,4161952.25,confl Beaver Creek at,351402.74,4165157.14,,,"(37.621525, -106.683822)",3.9,"20 (10/1 - 4/30), 45 (5/1 - 9/30)",,"Mineral, Rio Grande",Rio Grande Headwaters
92CW0082,6,44,Pine Creek,Stream,New Appropriation,09/16/1992,,4401454,headwaters in vicinity of,286678.24,4449423.95,confl South Fork Williams Fork at,291685.82,4456027.42,,,"(40.220556, -107.447778)",5.9,"1.5 (4/1 - 7/31), 0.75 (8/1 - 11/30), 0.5 (12/1 - 3/31)",,"Moffat, Rio Blanco",Upper Yampa
84CW0440,4,60,East Beaver Creek,Stream,New Appropriation,07/13/1984,,6001387,headwaters in vicinity of,225295.93,4195218.84,hdgt Gurley Ditch div at,222706.56,4198241.25,,,"(37.889722, -108.152778)",4.8,2.5 (1/1 - 12/31),,San Miguel,San Miguel
89CW0205,1,4,Big Thompson River,Stream,New Appropriation,11/14/1989,,0402111,confl NF Big Thompson River at,471268.16,4475807.58,hdgt Idylwild Pipeline div at,473517.21,4475409.77,,,"(40.428889, -105.311667)",1.5,"20 (11/1 - 4/30), 50 (5/1 - 10/31)",,Larimer,Big Thompson
11CW0152,5,51,Fraser River,Stream,Acquisition,,,,Denver Water Diversion at Fraser River,,,Confluence of Jim Creek,,,,,,1.4,10 (1/1 - 12/1),,Grand,Colorado Headwaters
W-8379-76,1,6,BOB LAKE,Lake,New Appropriation,03/17/1976,,0602102,na,,,na,,,4422677.36,441510.99,"(39.952222, -105.684167)",,,425,Boulder,St. Vrain
82CW0254,4,59,Pine Creek,Stream,New Appropriation,06/03/1982,,5901405,headwaters in vicinity of,354572.68,4322354.98,confl Taylor Creek at,356933.66,4314165.93,,,"(38.965, -106.650833)",5.9,2 (1/1 - 12/31),,Gunnison,East-Taylor
77W4673,2,11,Pine Creek,Stream,New Appropriation,01/19/1977,,1103051,headwaters in vicinity of,381330.64,4308103.19,confl S Pine Creek at,387414.48,4313131.78,,,"(38.960278, -106.297778)",5,10 (1/1 - 12/31),,Chaffee,Arkansas Headwaters
W-3811-77,3,25,"SAND CREEK LAKE, LOWER",Lake,New Appropriation,01/19/1977,,3503526,na,,,na,,,4198089.67,453202.10,"(37.929167, -105.531944)",,,1330,Saguache,San Luis
84CW0402,4,40,Trout Creek,Stream,New Appropriation,05/04/1984,,4002349,headwaters in vicinity of,307166.24,4303351.11,confl Ruby Anthracite Creek at,308796.37,4310618.09,,,"(38.923611, -107.205)",5.1,1 (1/1 - 12/31),,Gunnison,North Fork Gunnison
79CW0123,2,11,North Fork West Tennessee Creek,Stream,New Appropriation,03/14/1979,,1103040,headwaters in vicinity of,379994.00,4357501.87,confl W Tennessee Creek in,383061.04,4355791.33,,,"(39.343653, -106.357025)",2,2 (1/1 - 12/31),,Lake,Arkansas Headwaters
76W2944,5,38,East Maroon Creek,Stream,New Appropriation,01/14/1976,,3802018,headwaters in,333704.66,4319749.77,confl Maroon Creek in,334433.54,4330424.00,,,"(39.10725, -106.914856)",5,10 (1/1 - 12/31),,Pitkin,Roaring Fork
77W1273,6,58,Willow Creek,Stream,New Appropriation,09/23/1977,,5802332,confl Beaver Creek in,338266.19,4514833.43,confl Elk River in,341468.16,4510578.45,,,"(40.730883, -106.877339)",4,7 (1/1 - 12/31),,Routt,Upper Yampa
06CW0168,4,63,Mesa Creek,Stream,New Appropriation,01/25/2006,,6300815,confl N and S Fks Mesa Cr at,166870.95,4262969.98,confl Dolores River at,164872.70,4261363.07,,,"(38.437222, -108.839444)",1.97,3.7 (4/1 - 5/31),,Montrose,Lower Dolores
77W3627,5,37,East Brush Creek,Stream,New Appropriation,07/27/1977,,3702044,outlet Lake Charles at,361659.20,4369419.43,confl W Brush Ck in,349148.13,4378277.25,,,"(39.540917, -106.755494)",10,"4 (10/1 - 4/30), 7 (5/1 - 9/30)",,Eagle,Eagle
W-3315-77,4,59,BLUE LAKE,Lake,New Appropriation,01/19/1977,,5903720,na,,,na,,,4309646.22,316935.86,"(39.916667, -107.110278)",,,49,Gunnison,East-Taylor
86CW0307,1,48,Jinks Creek,Stream,New Appropriation,09/05/1986,,4802108,headwaters in,418892.23,4513469.59,confl McIntyre Creek in,421442.37,4517942.63,,,"(40.808736, -105.931386)",3.8,1 (1/1 - 12/31),,Larimer,Upper Laramie
76W0959,6,58,Fish Creek,Stream,Acquisition,05/14/1910,06/13/1911 12:00:00 AM,5801348,hdgt Mt Werner Pipeline in,348975.29,4482163.79,confl Yampa River in,344888.82,4481181.45,,,"(40.466836, -106.829617)",4.8,2 (1/1 - 12/31),,Routt,Upper Yampa
85CW0645,5,36,Spruce Creek,Stream,New Appropriation,11/08/1985,,3602025,headwaters at natural lakes at,379009.02,4417390.06,confl Blue River in,383923.56,4422849.45,,,"(39.947817, -106.358792)",5.4,0.5 (1/1 - 12/31),,"Grand, Summit",Blue
80CW0039,7,29,Turkey Creek,Stream,New Appropriation,01/30/1980,,2901906,outlet Turkey Creek Lake at,321799.39,4149836.15,hdgt Snowball Ditch in,325136.46,4140143.93,,,"(37.391578, -106.975358)",12.5,4 (1/1 - 12/31),,"Archuleta, Mineral",Upper San Juan
02/1/ACQ-02C,1,3,South Fork Cache la Poudre River,Stream,Acquisition,12/31/1888,09/10/1953 12:00:00 AM,,confl Little Beaver Creek at,455705.55,4497098.47,confl Cache la Poudre River at,462203.45,4504046.36,,,"(40.686389, -105.446667)",8,0.85 (5/1 - 9/30),,Larimer,Cache La Poudre
85CW0655,5,72,Leon Creek,Stream,New Appropriation,09/06/1985,,7202002,confl M and E Leon Creeks at,259162.90,4332073.62,confl Plateau Creek at,255773.54,4346378.52,,,"(39.232222, -107.828889)",9.5,3.5 (1/1 - 12/31),,Mesa,Colorado Headwaters-Plateau
77W4651,2,11,Black Cloud Creek,Stream,New Appropriation,01/19/1977,,1103010,headwaters in vicinity of,374441.08,4329231.28,confl Lake Creek at,375717.79,4325374.40,,,"(39.068611, -106.435833)",2,2 (1/1 - 12/31),,Lake,Arkansas Headwaters
77W1338,6,57,Trout Creek,Stream,New Appropriation,09/23/1977,,5701009,outlet Sheriff Res at,318018.97,4446457.35,confl Middle Creek in,332707.70,4475836.43,,,"(40.41635, -106.971814)",24,5 (1/1 - 12/31),,"Rio Blanco, Routt",Upper Yampa
89CW0178,5,51,Arapaho Creek,Stream,New Appropriation,07/11/1989,,5102070,outlet unnamed lake in,436082.69,4440357.12,confl Lake Granby in,435446.56,4440766.64,,,"(40.114733, -105.757517)",0.6,"20 (5/1 - 9/30), 6 (10/1 - 4/30)",,Grand,Colorado Headwaters
W-8336-76,1,7,BILL MOORE LAKE,Lake,New Appropriation,03/17/1976,,0702100,na,,,na,,,4406261.48,439244.94,"(39.804167, -105.709167)",,,9,Clear Creek,Clear
W-3300-77,4,40,CLEAR LAKE,Lake,New Appropriation,03/09/1977,,4003638,na,,,na,,,4320759.32,234523.02,,,,71,Delta,Lower Gunnison
77W1315,6,58,Bear River,Stream,New Appropriation,09/23/1977,,5802202,outlet Yampa Res in,323189.74,4434718.76,confl Phillips (Chimney) Ck in,338188.83,4447064.71,,,"(40.158361, -106.899975)",11,12 (1/1 - 12/31),,"Garfield, Routt",Upper Yampa
02CW0372,1,6,JEWELL MOUNTAIN LAKE,Lake,New Appropriation,01/23/2002,,0603327,na,,,na,,,4415237.61,478649.56,"(39.886944, -105.249167)",,,28,Jefferson,Upper South Platte
78W3816,5,37,Lime Creek,Stream,New Appropriation,05/12/1978,,3702039,headwaters in,388094.07,4380419.75,confl Turkey Creek in,385133.97,4375645.50,,,"(39.522781, -106.336389)",4,1 (1/1 - 12/31),,Eagle,Eagle
19CW3011,6,43,Marvine Creek,Stream,New Appropriation,01/29/2019,,,outlet of Lower Marvine Lake at,296243.96,4424055.13,confl West Marvine Creek at,291464.01,4432955.16,,,"(40.021058, -107.443647)",7.1,"5.9 (11/01 - 03/31), 13.1 (04/01 - 10/31)",,Rio Blanco,Upper White
15CW3111,5,37,Timber Springs Gulch,Stream,New Appropriation,01/26/2015,,3702087,Spring Complex at,360417.74,4392856.91,BLM Property Boundary at,360360.21,4392106.56,,,"(39.6675, -106.628056)",0.47,"1.3 (4/1 - 10/31), 1 (11/1 - 3/31)",,Eagle,Eagle
03CW0039,3,25,Garner Creek,Stream,New Appropriation,01/22/2003,,2500932,USFS quant pt 53G4 at,430749.77,4226262.89,hdgt Garner Creek Ditch at,429098.82,4225388.24,,,"(38.173611, -105.808889)",1.2,"1.9 (5/1 - 9/14), 0.6 (9/15 - 4/30)",,Saguache,San Luis
08CW0162,1,6,Como Creek,Stream,New Appropriation,01/23/2008,,0602133,headwaters in the vicinity of,451638.73,4432316.19,Forest Service boundary at,456075.14,4429456.39,,,"(40.014167, -105.514722)",4.2,"2.9 (5/1 - 7/31), 1.1 (8/1 - 10/15), 0.45 (10/16 - 3/31), 1.1 (4/1 - 4/30)",,Boulder,St. Vrain
85CW0432,1,3,Roaring Creek,Stream,New Appropriation,11/08/1985,,0302128,headwaters in vicinity of,435219.42,4513372.61,confl Cache la Poudre River at,437781.67,4507098.59,,,"(40.712456, -105.736603)",5.1,2 (1/1 - 12/31),,Larimer,Cache La Poudre
80CW0018,5,38,Hunter Creek,Stream,Acquisition,10/07/1957,,3802113,outlet Hunter Creek Res in,344819.68,4341135.96,confl Roaring Fork River at,342757.69,4340178.96,,,"(39.197222, -106.820556)",1.7,0.018 (5/15 - 9/15),,Pitkin,Roaring Fork
87CW0286,1,7,Soda Creek,Stream,New Appropriation,12/11/1987,,0702102,confl unnamed tributary in,465520.75,4393356.29,confl Beaver Brook in,469021.84,4396394.50,,,"(39.716858, -105.361422)",3.2,1 (1/1 - 12/31),,"Clear Creek, Jefferson",Clear
87CW0280,1,5,Roaring Fork,Stream,New Appropriation,12/11/1987,,0502119,National Park boundary in,453886.49,4456405.50,confl Cabin Creek in,455724.81,4455211.06,,,"(40.246175, -105.520561)",1.4,"0.5 (11/1 - 4/30), 1 (5/1 - 10/31)",,Boulder,St. Vrain
W-1766-77,7,30,PORPHYRY BASIN #1,Lake,New Appropriation,01/19/1977,,3003929,na,,,na,,,4196964.95,257991.28,"(37.888056, -107.751389)",,,4,San Juan,Animas
82CW0236,3,22,Lake Fork,Stream,New Appropriation,10/07/1982,,2200897,headwaters at natural lake at,361772.70,4131481.00,confl Conejos River in,368454.06,4128522.96,,,"(37.294025, -106.484131)",6.6,2.5 (1/1 - 12/31),,Conejos,Conejos
11CW0152,5,51,Meadow Creek,Stream,Acquisition,,,,Denver Water Diversion at Meadow Creek,,,Headgate of Vail Ditch No. 1,,,,,,0.51,"3.5 (5/1 - 9/30), 1.5 (10/1 - 4/30)",,Grand,Colorado Headwaters
82CW0249,4,59,Pass Creek,Stream,New Appropriation,06/03/1982,,5901733,headwaters at spring at,377285.68,4299123.77,confl Willow Creek at,368456.65,4297416.73,,,"(38.815833, -106.514444)",7.1,1.5 (1/1 - 12/31),,Gunnison,East-Taylor
77W4678,2,13,Dry Creek,Stream,New Appropriation,11/15/1977,,1303002,headwaters in vicinity of,448998.09,4209324.91,Forest Service boundary in,453068.78,4212160.84,,,"(38.055975, -105.534944)",3,2 (1/1 - 12/31),,Custer,Arkansas Headwaters
84CW0359,4,59,East Willow Creek,Stream,New Appropriation,05/04/1984,,5901483,headwaters in vicinity of,375162.58,4286049.58,confl West Willow Creek at,371076.97,4290668.99,,,"(38.755278, -106.4825)",5.6,1.5 (1/1 - 12/31),,Gunnison,East-Taylor
W-8381-76,1,6,DEVILS THUMB LAKE,Lake,New Appropriation,03/17/1976,,0602104,na,,,na,,,4425107.02,442312.48,"(39.974167, -105.675)",,,213,Boulder,St. Vrain
W-3816-77,3,35,DEADMAN LAKE #1 (LOWER),Lake,New Appropriation,03/09/1977,,2503502,na,,,na,,,4195938.77,451471.44,"(37.909722, -105.501389)",,,12,Saguache,San Luis
11CW0152,5,51,Buck Creek,Stream,Acquisition,,,,Denver Water Diversion at Buck Creek,435742.47,4415953.00,Confluence of Fraser River,,,,,"(39.891211, -105.751589)",0.4,,,Grand,Colorado Headwaters
86CW0180,1,7,Chicago Creek,Stream,New Appropriation,03/13/1986,,0702114,1000' d/s cl Chicago Ck Res dam at,447206.76,4388784.92,confl West Chicago Creek at,447050.63,4393921.38,,,"(39.693611, -105.616944)",3,2 (1/1 - 12/31),,Clear Creek,Clear
78W9369,1,3,Trail Creek,Stream,New Appropriation,07/11/1978,,0302100,headwaters in,445751.58,4534986.72,confl NF Cache La Poudre in,460316.04,4528057.18,,,"(40.902647, -105.471164)",15,2 (1/1 - 12/31),,Larimer,Cache La Poudre
92CW0173,4,62,Rock Creek,Stream,New Appropriation,11/09/1992,,6201536,headwaters in vicinity of,333784.74,4232048.61,hdgt JW Brown Ditch at,323506.31,4222094.66,,,"(38.129444, -107.013056)",13.7,"0.75 (10/1 - 4/30), 3 (05/1 - 9/30)",,"Hinsdale, Saguache",Upper Gunnison
84CW0423,4,68,West Fork Dallas Creek,Stream,New Appropriation,05/04/1984,,6801153,headwaters in vicinity of,248489.92,4212607.50,hdgt Burkhart Eddy div in,250977.03,4221495.54,,,"(38.106978, -107.840189)",6.3,2.5 (1/1 - 12/31),,Ouray,Uncompahgre
W-4354-75,2,11,"TENNESSEE LAKE, W, LOWER",Lake,New Appropriation,09/10/1975,,1103985,na,,,na,,,4356122.87,377156.86,"(39.345833, -106.425)",,,22,Lake,Arkansas Headwaters
77W1356,6,54,Independence Creek,Stream,New Appropriation,09/23/1977,,5402053,unnamed lake in,335850.58,4522933.66,confl King Solomon Creek in,333588.78,4532188.87,,,"(40.923892, -106.976364)",7,3 (1/1 - 12/31),,Routt,Little Snake
W-3057-76,5,38,WILLOW LAKE,Lake,New Appropriation,01/14/1976,,3803900,na,,,na,,,4330740.57,330177.05,"(39.108333, -106.9625)",,,420,Pitkin,Roaring Fork
79CW0001,1,5,Cabin Creek,Stream,New Appropriation,09/19/1978,,0502103,confl Tahosa Creek in,456632.95,4454504.25,confl N St Vrain Creek in,460729.83,4451999.93,,,"(40.217497, -105.461519)",4,5 (1/1 - 12/31),,Boulder,St. Vrain
02/1/ACQ-04C,1,3,South Fork Cache la Poudre River,Stream,Acquisition,12/31/1888,09/10/1953 12:00:00 AM,,confl Little Beaver Creek at,455705.55,4497098.47,confl Cache la Poudre River at,462203.45,4504046.36,,,"(40.686389, -105.446667)",11.7,0.935 (5/1 - 9/30),,Larimer,Cache La Poudre
78W3795,5,37,Cross Creek,Stream,New Appropriation,05/12/1978,,3702018,confl E Cross Creek at,372798.75,4373122.49,confl Eagle River in,379197.28,4381033.14,,,"(39.570497, -106.406419)",8,"8 (10/1 - 4/30), 20 (5/1 - 9/30)",,Eagle,Eagle
STL3,5,51,Colorado River,Stream,Acquisition,,,,Headgate of Windy Gap Diversion,,,Conlfuence of Williams Fork River,,,,,,,"0.21 (04/01 - 04/30), 2.69 (05/01 - 05/31), 3.8 (06/01 - 06/30), 2.7 (07/01 - 07/31), 0.93 (08/01 - 08/31), 0.48 (09/01 - 09/30), 0.39 (10/01 - 10/31)",,"Grand, Mesa, Routt","Blue, Colorado Headwaters, Colorado Headwaters-Plateau, Lower Gunnison"
04CW0084,2,11,Green Creek,Stream,New Appropriation,01/28/2004,,1103079,confl unnamed tributary at,393338.41,4260987.10,confl S Fork Arkansas River at,399509.38,4264983.98,,,"(38.5275, -106.1525)",4.7,"3.9 (4/1 - 8/31), 1.9 (9/1 - 3/31)",,Chaffee,Arkansas Headwaters
14CW3156,5,39,East Fork Parachute Creek,Stream,New Appropriation,01/28/2014,,3902027,confl Bull Gulch at,241002.27,4383629.51,BLM boundary at,239652.69,4385096.90,,,"(39.576111, -108.031111)",1.28,"5 (4/15 - 6/30), 0.65 (7/1 - 4/14)",,Garfield,Parachute-Roan
87CW0264,1,3,Joe Wright Creek,Stream,New Appropriation,12/11/1987,,0302139,confl NF Joe Wright Creek at,427121.97,4491806.56,confl Chambers Lake at,427751.90,4494251.07,,,"(40.596111, -105.853333)",1.7,"2 (10/1 - 3/31), 5 (4/1 - 9/30)",,Larimer,Cache La Poudre
